difficultyMin,difficultyMax,stepCount
-9999,5,3000
6,10,3000
11,15,3500
16,20,4000
21,25,5000
26,30,6000
31,35,7000
36,40,8000
41,45,9000
46,50,10000
51,55,11000
56,60,12000
61,65,13500
66,70,15000
71,75,20000
76,999999,30000
